AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"08-Mar-19 07:29 AM";"as long as the RNG of rogue can be used, then there is no problem. everytime you get a random number, the next one is calculated. there is no need to go back to high entropy source for each random number";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:30 AM";"1000 rogue games will take a second or two to replay, tetris I imagine will be faster";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:30 AM";"at worst we would need to make longer blocktimes";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:31 AM";"let us not overengineer things. zksnarks? math that is very hard to understand, fancy other things... not the best thing to start with such complex things";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:31 AM";"I always start with the simplest possible solution";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:31 AM";"often it is good enough and then I am done";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:31 AM";"if not, then I step it up to the next level of complexity and I stop as soon as the problem is solved. this ends up with arguably the simplest solution that solves the problem";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:32 AM";"sure, it is good to have bazooka, emp, hellfire missles in your toolkit, but if a flyswatter is all that is needed, just use that";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:33 AM";"the only issue about tetris that is different than rogue (other than tetris is MUCH simpler gameplay) is that not doing anything creates an event. that is the only real difference, so I dont expect there to be much different in the solution. maybe just just run length encoding of keystrokes";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:33 AM";"do not overengineer things, especially blockchain logic";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:34 AM";"it has to be dead simple, else it wont ever consensus";"";"";
"405011811511828481";"Alright#0419";"08-Mar-19 07:38 AM";"will every rogue node validate every game? same seed, same inputs, same result?";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:41 AM";"""will"" ?? they have been since early blocks";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:42 AM";"it is the blockchain consensus concept applied to rogue";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:42 AM";"terribly inefficient, but impossible to cheat";"";"😂 (1)";
"405011811511828481";"Alright#0419";"08-Mar-19 07:45 AM";"Does a tetris game in this situation need randomness every 7 in-game blocks or just a single seed of entropy to start a game?";"";"";
"405011811511828481";"Alright#0419";"08-Mar-19 07:46 AM";"I keep explaining this concept to joker(same seed, same input, same outcome), and he is convinced it's impractical to code game logic into consensus for every single node";"";"";
"371114647052615681";"Mylo#8306";"08-Mar-19 07:50 AM";"game logic is logic.
crypto condition logic is logic.
wallet logic is logic.
it is all logic.   the faucet logic goes around in a loop until a transaction ends in 00 to stop leechers.
game logic is just to replay.  not in realtime.  super fast.";"";"";
"371114647052615681";"Mylo#8306";"08-Mar-19 07:51 AM";"tetris.  who knows.  maybe the game was written in a time when computing 50k random numbers was expensive for cpu & ram.";"";"";
"405011811511828481";"Alright#0419";"08-Mar-19 07:52 AM";">impossible to cheat
I think it's the opposite? Die? Submit a different set of keystrokes in which you didn't die";"";"";
"232679450301431808";"blackjok3r#3181";"08-Mar-19 07:52 AM";"im just thinking about games that are far more complex than these... it does not seem possible to replay every game with a fuill block to me.. maybe im wrong but doesnt seem to make a lot of sense";"";"";
"405011811511828481";"Alright#0419";"08-Mar-19 07:53 AM";"if you limit this window in which you can ""rewrite"" the keystrokes, we limit cheating";"";"";
"405011811511828481";"Alright#0419";"08-Mar-19 07:53 AM";"but no matter what, it's possible";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:53 AM";"still the keystrokes submitted needs to have been played";"";"";
"371114647052615681";"Mylo#8306";"08-Mar-19 07:53 AM";"i had this cheating argument at hte beginning of the week.   you're gonna lose 😄";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 07:54 AM";"you might be able to implement a limited undo, but with a time constraint there wont be time to redo things in any significant ways";"";"";
